Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM6.6,1,Buzzer,
"C1, C12, C16, C18, C22, C4, C5, C6, C7",0603,9,100n,C14663
"C10, C20, C8, C9",1206,4,10u/50V,C13585
"C11, C19",CP_Radial_D5.0mm_P2.00mm,2,100u,C43348
"C13, C21",0603,2,10u,C19702
"C14, C2",0805,2,10u,C15850
"C15, C17, C3",0603,3,1u,C15849
"D1, D2",D_SOD-123,2,B5819W,C8598
D3,D_MiniMELF,1,3V3,C8056
D4,D_MiniMELF,1,5V6,C8062
"D5, D6",D_SMA,2,SS54,C22452
J2,IDC-Header_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J7,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,918-418K2023S40001,C167321
J9,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Male,
"L1, L2",L_Cenker_CKCS5040,2,6u8,C354608
"Q1, Q4, Q5",SOT-23,3,2N7002,C8545
"Q2, Q3",SOT-23,2,S8050,C2146
"R1, R13, R15, R18, R19, R2, R6, R7",0603,8,10K,C25804
"R10, R11",0603,2,12K,C22790
"R12, R14",R_LDR_5.1x4.3mm_P3.4mm_Vertical,2,R_Photo,
"R16, R17",0603,2,1K,C21190
"R21, R22",0603,2,100K,C25803
R3,0603,1,4K7,C23162
"R4, R5",1206,2,820m,C175854
"R8, R9",0603,2,470R,C23179
RESET1,SW_SPST_TL3342,1,SW_SPST,C318884
RV1,Potentiometer_Alps_RK09K_Single_Vertical,1,R_Potentiometer,
"SW1, SW2, SW3",SW_PUSH_6mm_H13mm,3,SW_SPST,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32D,C529577
U2,TO-92_HandSolder,1,DS18B20,
U3,Display_128x64_096_I2C_3Hole,1,OLED_I2C,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,C84681
"U6, U7",DFN-10-1EP_3x3mm_P0.5mm_EP1.75x2.6mm,2,SY7203,C125894
U8,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302BMPX,C132291
